id,zipcode,name,country_id/id,state_id/id
8691_BeverenAanDeIjzer,8691,Beveren-Aan-De-Ijzer,base.be,l10n_be.state_be_vwv
9120_BeverenWaas,9120,Beveren-Waas,base.be,l10n_be.state_be_vov
3581_Beverlo,3581,Beverlo,base.be,l10n_be.state_be_vli
3740_Beverst,3740,Beverst,base.be,l10n_be.state_be_vli
4610_BeyneHeusay,4610,Beyne-Heusay,base.be,l10n_be.state_be_wlg
6543_BienneLezHappart,6543,Bienne-Lez-Happart,base.be,l10n_be.state_be_wht
3360_Bierbeek,3360,Bierbeek,base.be,l10n_be.state_be_vbr
6533_Biercee,6533,Biercée,base.be,l10n_be.state_be_wht
1301_Bierges,1301,Bierges,base.be,l10n_be.state_be_wbr
1430_Bierghes,1430,Bierghes,base.be,l10n_be.state_be_wbr
4460_Bierset,4460,Bierset,base.be,l10n_be.state_be_wlg
5380_Bierwart,5380,Bierwart,base.be,l10n_be.state_be_wna
5640_Biesme,5640,Biesme,base.be,l10n_be.state_be_wna
6531_BiesmeSousThuin,6531,Biesme-Sous-Thuin,base.be,l10n_be.state_be_wht
5640_Biesmeree,5640,Biesmerée,base.be,l10n_be.state_be_wna
5555_Bievre,5555,Bièvre,base.be,l10n_be.state_be_wna
1390_Biez,1390,Biez,base.be,l10n_be.state_be_wbr
6690_Bihain,6690,Bihain,base.be,l10n_be.state_be_wlx
8920_Bikschote,8920,Bikschote,base.be,l10n_be.state_be_vwv
4831_Bilstain,4831,Bilstain,base.be,l10n_be.state_be_wlg
3740_Bilzen,3740,Bilzen,base.be,l10n_be.state_be_vli
7130_Binche,7130,Binche,base.be,l10n_be.state_be_wht
3850_Binderveld,3850,Binderveld,base.be,l10n_be.state_be_vli
3211_Binkom,3211,Binkom,base.be,l10n_be.state_be_vbr
5537_Bioul,5537,Bioul,base.be,l10n_be.state_be_wna
8501_Bissegem,8501,Bissegem,base.be,l10n_be.state_be_vwv
7783_Bizet,7783,Bizet,base.be,l10n_be.state_be_wht
2830_Blaasveld,2830,Blaasveld,base.be,l10n_be.state_be_van
5542_Blaimont,5542,Blaimont,base.be,l10n_be.state_be_wna
7522_Blandain,7522,Blandain,base.be,l10n_be.state_be_wht
3052_Blanden,3052,Blanden,base.be,l10n_be.state_be_vbr
8370_Blankenberge,8370,Blankenberge,base.be,l10n_be.state_be_vwv
7040_Blaregnies,7040,Blaregnies,base.be,l10n_be.state_be_wht
7321_Blaton,7321,Blaton,base.be,l10n_be.state_be_wht
7370_Blaugies,7370,Blaugies,base.be,l10n_be.state_be_wht
4670_Blegny,4670,Blégny,base.be,l10n_be.state_be_wlg
7620_Bleharies,7620,Bléharies,base.be,l10n_be.state_be_wht
4280_Blehen,4280,Blehen,base.be,l10n_be.state_be_wlg
6760_Bleid,6760,Bleid,base.be,l10n_be.state_be_wlx
4300_Bleret,4300,Bleret,base.be,l10n_be.state_be_wlg
7903_Blicquy,7903,Blicquy,base.be,l10n_be.state_be_wht
3950_Bocholt,3950,Bocholt,base.be,l10n_be.state_be_vli
4537_Bodegnee,4537,Bodegnée,base.be,l10n_be.state_be_wlg
2530_Boechout,2530,Boechout,base.be,l10n_be.state_be_van
3890_Boekhout,3890,Boekhout,base.be,l10n_be.state_be_vli
9961_Boekhoute,9961,Boekhoute,base.be,l10n_be.state_be_vov
4250_Boelhe,4250,Boëlhe,base.be,l10n_be.state_be_wlg
8904_Boezinge,8904,Boezinge,base.be,l10n_be.state_be_vwv
1670_Bogaarden,1670,Bogaarden,base.be,l10n_be.state_be_vbr
5550_Bohan,5550,Bohan,base.be,l10n_be.state_be_wna
5140_Boignee,5140,Boignée,base.be,l10n_be.state_be_wna
4690_Boirs,4690,Boirs,base.be,l10n_be.state_be_wlg
7170_BoisDHaine,7170,Bois-D'Haine,base.be,l10n_be.state_be_wht
7866_BoisDeLessines,7866,Bois-De-Lessines,base.be,l10n_be.state_be_wht
5170_BoisDeVillers,5170,Bois-De-Villers,base.be,l10n_be.state_be_wna
4560_BoisEtBorsu,4560,Bois-Et-Borsu,base.be,l10n_be.state_be_wlg
5310_Bolinne,5310,Bolinne,base.be,l10n_be.state_be_wna
4653_Bolland,4653,Bolland,base.be,l10n_be.state_be_wlg
1367_Bomal,1367,Bomal,base.be,l10n_be.state_be_wbr
6941_BomalSurOurthe,6941,Bomal-Sur-Ourthe,base.be,l10n_be.state_be_wlx
4607_Bombaye,4607,Bombaye,base.be,l10n_be.state_be_wlg
3840_Bommershoven,3840,Bommershoven,base.be,l10n_be.state_be_vli
7603_BonSecours,7603,Bon-Secours,base.be,l10n_be.state_be_wht
4100_Boncelles,4100,Boncelles,base.be,l10n_be.state_be_wlg
5310_Boneffe,5310,Boneffe,base.be,l10n_be.state_be_wna
2820_Bonheiden,2820,Bonheiden,base.be,l10n_be.state_be_van
5021_Boninne,5021,Boninne,base.be,l10n_be.state_be_wna
1325_Bonlez,1325,Bonlez,base.be,l10n_be.state_be_wbr
6700_Bonnert,6700,Bonnert,base.be,l10n_be.state_be_wlx
5300_Bonneville,5300,Bonneville,base.be,l10n_be.state_be_wna
5377_Bonsin,5377,Bonsin,base.be,l10n_be.state_be_wna
2221_Booischot,2221,Booischot,base.be,l10n_be.state_be_van
8630_Booitshoeke,8630,Booitshoeke,base.be,l10n_be.state_be_vwv
2850_Boom,2850,Boom,base.be,l10n_be.state_be_van
3631_Boorsem,3631,Boorsem,base.be,l10n_be.state_be_vli
3190_Boortmeerbeek,3190,Boortmeerbeek,base.be,l10n_be.state_be_vbr
